game_result,game_id,mr_x_algo,cop_algo,mr_x_avg_distance_to_cop,avg_distance_between_cops,mr_x_avg_reward,cops_avg_reward,train_iteration
2,1,3,2,8.119410661658458,4.72879637918808,4.564443639625,-0.323593942458116,960
2,10,3,2,5.738658241475977,7.541264067825053,0.9435135292416668,1.1380246337147082,960
2,100,3,2,10.495745204286829,4.968775610224913,6.6940717520333335,-1.9045953251573444,960
1,11,3,2,4.194036815741323,3.890256909069833,-5.068772226700001,6.470524479530482,960
2,12,3,2,8.399394081419056,11.408710109357235,2.6589472255583333,-1.2244413032210095,960
1,13,3,2,5.251465353494645,9.548302604575792,-28.3491760735,26.77226044614387,960
1,14,3,2,5.234261020787129,6.397300245845851,-5.037782142635714,5.151250731259405,960
2,15,3,2,12.606532904468295,10.483111377052618,10.665548144216666,-3.1170206108994147,960
2,16,3,2,6.866565223543298,11.066233377875742,4.028976415925,-0.2613850738893205,960
2,17,3,2,10.258981821387584,5.16141009121888,5.15681170375,-2.3275068571250617,960
2,18,3,2,5.758290813979394,9.409821594828792,1.084465519645833,1.8787555010176071,960
2,19,3,2,5.894435386125988,6.021541951235556,1.1995831789833329,0.6840012158415204,960
2,2,3,2,10.28784297409956,5.770595614780823,7.108721279554167,-1.7115882928979014,960
2,20,3,2,9.480086491884093,8.405956688062409,4.386434187658334,-0.7725157183984385,960
2,21,3,2,5.640466337921514,10.152458316463973,1.7148422709958329,1.6462823957636097,960
2,22,3,2,5.428905192870808,7.261153132878323,2.103965268141667,1.8507677347224645,960
2,23,3,2,7.431250206508106,5.644916976110888,2.7158240025583336,-0.7594400610665945,960
2,24,3,2,8.81949839786889,7.613811235120643,4.886885166333333,-1.0294043945673754,960
2,25,3,2,5.599904209776569,9.50521389328455,1.621540130075,1.6940328033002447,960
2,26,3,2,7.257767151571696,9.000770792973121,2.1787401630291665,-0.4346720319534461,960
2,27,3,2,7.666101893472778,7.2369930029873535,1.347694255654167,0.7290998427290396,960
2,28,3,2,5.32503795392206,7.898967176873483,1.2472170892291663,1.5552575072009442,960
2,29,3,2,4.572048809676839,5.5381583296837285,0.9726028041958332,2.962713044113962,960
1,3,3,2,5.293439001567651,6.91629243178659,-11.72539425392,8.84534414962731,960
2,30,3,2,7.970638741022399,6.513723115089697,3.765792918975,-1.3826376613513247,960
2,31,3,2,7.776791136383781,4.729879686835008,4.838978906520833,-0.8683833828337306,960
1,32,3,2,6.146798496213768,6.896211736451515,-54.6484601976,41.11263906016527,960
2,33,3,2,12.79691964107568,3.395682050531503,10.2671569019875,-3.286569085358364,960
2,34,3,2,10.124680017305415,9.556262687485251,6.799759934891667,-1.945643066910263,960
2,35,3,2,10.344826205787914,5.795014871575726,7.183767502129167,-1.6765290582312364,960
2,36,3,2,6.204920281066197,6.9566145293827,1.5957327062083329,1.1775847570875395,960
2,37,3,2,8.962133189320339,6.653638461389584,4.527971994658333,-0.6514933653765951,960
1,38,3,2,4.374331768280621,4.963396984522404,-5.740619317078573,6.14080839017312,960
1,39,3,2,3.735729100170915,8.036761583706332,-15.6272318485,12.5698267765712,960
2,4,3,2,6.790829967327849,6.887233439825806,2.2941717662708334,0.8790289379047573,960
2,40,3,2,5.085943838944887,7.128039290767702,0.9144153352416664,2.2428245909676745,960
2,41,3,2,7.78452483924806,9.13151303414503,0.5871170006416663,1.034416826324308,960
2,42,3,2,7.3985710577357535,6.188197199036206,4.2170303893625,-0.5066255604863369,960
2,43,3,2,10.850636791600593,9.588831938918563,8.544960855441667,-2.8871177447729868,960
1,44,3,2,6.149029771689609,5.875379432803456,-7.055158122911111,6.450700766169989,960
1,45,3,2,8.905412291341126,7.647086171186632,-12.41830526888,9.095487010481154,960
2,46,3,2,8.603581402647114,6.57433014184542,5.677483579691667,-1.8655267056476168,960
2,47,3,2,7.17053687854392,6.940507064854711,2.8225209226041663,0.4419227758365502,960
2,48,3,2,6.305920942440671,5.880339101402394,1.7851156181666668,0.7433939843267968,960
2,49,3,2,11.990366636376883,4.748551342294953,10.1575273959125,-3.2460500705238835,960
2,5,3,2,7.7350058890534354,11.547847930720918,3.3260311358916663,-0.6610993044690763,960
1,50,3,2,9.594794273744515,12.489526351085726,-8.554312242825,6.944708359651385,960
2,51,3,2,10.17668407700988,6.235520538876361,5.502516134833333,-1.676554502920956,960
2,52,3,2,9.143028926787984,6.112902117996891,3.9208466172875,-1.3871805918438724,960
1,53,3,2,4.349919419749897,4.314419533906788,-4.456498102011111,5.837101893806063,960
2,54,3,2,7.917652571540278,8.901672299109915,2.7088265973333336,-0.1310866114389414,960
2,55,3,2,10.088253851493985,5.921353654780456,6.5108637981375,-1.9550788190192292,960
2,56,3,2,6.2916867611217056,8.71683362707513,2.5515982207333328,1.2406699293066925,960
2,57,3,2,7.61416229849407,9.28261324655257,3.040667058229167,-0.3590396782329315,960
2,58,3,2,7.335300344269499,9.41340916583575,3.1619594177291663,-0.8079149535534645,960
2,59,3,2,5.340327875571269,9.31235237127507,0.7855449885,1.5803512710634682,960
2,6,3,2,12.68621936831778,3.015192919078982,10.745066758825,-3.752451587096701,960
2,60,3,2,7.249683252844599,3.711794025144851,4.057409479925,0.5580652712733196,960
2,61,3,2,7.785212486345138,6.213408450565619,3.8683924248958337,-0.3175377047481543,960
1,62,3,2,2.793163603849891,4.890333230549647,-11.739451179116664,13.09524912063528,960
2,63,3,2,12.954600989561529,3.875648936914617,10.9169293275125,-3.390896845915426,960
1,64,3,2,6.967687112968895,6.380460180376804,-5.275741174966667,5.4064900760626085,960
2,65,3,2,4.780015500844827,5.69001243507288,1.465374354220833,2.8065278069518627,960
2,66,3,2,10.068360403954598,12.065133532704529,3.4870690550625,-1.9230659541024744,960
2,67,3,2,8.921010178480818,10.664447432185828,6.7322543859333335,-2.053515552061107,960
2,68,3,2,7.093482313419865,3.2711256930479125,3.9620889895583336,0.0442850564875874,960
1,69,3,2,7.228847031337245,6.144281786603679,-9.29118316355,6.384074016358259,960
1,7,3,2,4.170324594881439,4.2336580678947,-7.343520916400001,8.470765497984486,960
2,70,3,2,7.718480182835786,7.752627931802206,3.2430952900666665,-0.3816604485545207,960
2,71,3,2,5.665617206478547,5.371767350586633,2.364024618879167,1.4976422772141456,960
2,72,3,2,7.288228235368845,8.95524209435519,1.1780840183291668,0.6769926607444043,960
2,73,3,2,5.303394542495679,7.0323113492409535,0.4075346045624998,2.4850239773089204,960
2,74,3,2,5.938081488482656,8.592518869907286,1.4091183732916666,1.0604600259554269,960
2,75,3,2,10.052459328134086,5.933909762422874,4.974103799804166,-1.53217419986459,960
2,76,3,2,11.55692830751206,7.776791626987301,7.983778261979167,-3.126355226298441,960
1,77,3,2,4.858285195341272,8.20784236259339,-5.487735289516667,6.974451138690367,960
2,78,3,2,10.43020861090248,6.568644995773886,5.612595503166667,-2.0361974634770603,960
2,79,3,2,13.719763809645606,3.174055750651446,11.562268345870834,-3.0335967935556165,960
2,8,3,2,5.941982348366868,6.578353189815092,1.7066641384125,1.6174068390500864,960
2,80,3,2,8.074279883283198,10.661174530804816,1.965649244275,0.1933674288791339,960
2,81,3,2,10.742487239758786,9.157566552133195,7.042988236683333,-2.4173970598872145,960
2,82,3,2,9.573728623137612,8.407207774796921,7.015364423433333,-1.97983656943118,960
2,83,3,2,7.49841046429465,7.86949484873914,3.6744084494541673,-0.4981554260337836,960
2,84,3,2,5.772933311359533,2.4446031926292053,2.3533916171625004,-0.2805541191011995,960
1,85,3,2,6.4525206098899845,11.678166386543827,-28.82672076565,24.86483828559643,960
2,86,3,2,7.911804373235548,8.723051343531472,3.5698783054958336,-0.7993645563617332,960
2,87,3,2,9.700918469303444,8.32745787740989,5.515467268654167,-2.203014649706795,960
