game_result,game_id,mr_x_algo,cop_algo,mr_x_avg_distance_to_cop,avg_distance_between_cops,mr_x_avg_reward,cops_avg_reward,train_iteration
1,1,2,1,4.358550532431383,2.946741143201662,-4.081812205753334,7.224037271409155,300
1,10,2,1,4.11699057980178,5.363434292380209,-4.495524030004762,6.882932374426263,300
1,100,2,1,4.541340154524676,4.547903726341848,-4.53031980330625,7.048694619419274,300
1,11,2,1,5.256520062039182,5.133502845829107,-4.41359723033077,8.078739603429359,300
1,12,2,1,3.6600656388256,6.280965924806228,-15.16921580475,11.926569344147032,300
1,13,2,1,4.625995954137832,2.8110886220251845,-5.816359025369231,7.869822554103239,300
1,14,2,1,3.1014138425738857,4.370812698535576,-5.878974578853334,9.063006822001215,300
2,15,2,1,3.1706867047995444,3.868017333391047,-0.192182621216667,6.5973257392874745,300
1,16,2,1,4.675811706917832,4.039984976221024,-5.271321578561539,6.848308289117833,300
1,17,2,1,5.3911099786908485,4.96946974930683,-7.716571396000001,9.57773063773982,300
1,18,2,1,3.814610869696684,3.651403677994092,-5.041392368255556,7.465139906839149,300
1,19,2,1,3.506093869373536,2.8265384562929774,-5.199134870372223,7.764936739515107,300
1,2,2,1,4.157136613428146,3.666136938019216,-5.565391070528571,6.911082911395283,300
1,20,2,1,5.83839042559202,6.8622837219036725,-8.3002107034625,9.008913481113703,300
1,21,2,1,4.460766834679145,3.602594200586932,-9.1031124923,9.267887574437692,300
2,22,2,1,5.012404731111714,4.4689041269800205,0.0608411333083333,4.117268450156978,300
2,23,2,1,3.351657201545473,2.9592282043463563,0.2962513413125,5.091006368799484,300
1,24,2,1,4.7798426436709525,1.793465923608716,-4.4012778252833336,6.26745698353771,300
2,25,2,1,2.6659412404061125,3.396781568208165,-0.5063412441000001,6.694689244845996,300
2,26,2,1,6.122836296065516,5.473779742960397,3.1329704334958337,3.4388819535832504,300
1,27,2,1,3.1553868332669914,3.307498315839074,-4.780579423952632,7.765378234276843,300
1,28,2,1,4.021219795646215,3.130874228764223,-5.730028663173333,8.38858900647473,300
