game_result,game_id,mr_x_algo,cop_algo,mr_x_avg_distance_to_cop,avg_distance_between_cops,mr_x_avg_reward,cops_avg_reward,train_iteration
2,1,2,1,4.215962151166518,2.708974117612581,0.2107732238625002,5.450371354712556,140
1,10,2,1,2.8850615430072764,3.753827530632013,-5.35109213201579,8.978645206386682,140
1,11,2,1,5.246886773619561,7.592447074177642,-6.343593232572728,6.858387020163173,140
2,12,2,1,4.9899138024902925,3.742734211720604,0.7457260516874996,3.816956046824116,140
2,13,2,1,5.032821818314489,4.940848473386959,0.5802033475249999,3.418703353379487,140
2,14,2,1,3.5998759568249654,3.4513421284779118,0.3368744110541666,4.145401402432062,140
2,15,2,1,3.489706296098785,2.137361054186083,0.4144327657458331,5.662778971481967,140
1,16,2,1,5.92554209409172,5.194822710504998,-3.985440222438461,5.649924534070266,140
1,17,2,1,4.606100041418713,4.789630146678327,-6.6501294822000006,7.465942355217142,140
2,18,2,1,5.939558868803413,3.327859740896256,2.068434086404166,3.669101628147768,140
1,19,2,1,5.330555055220159,2.663338897490464,-2.7825397925727278,5.46588717635663,140
2,2,2,1,3.3071903982960715,3.770358177468768,-0.2803426060833332,6.33816368253943,140
1,20,2,1,3.3775571838555405,3.3171920358299776,-4.835028514063636,8.254332438378622,140
1,21,2,1,5.053448778107779,3.81623996815397,-3.3944161231166667,6.043088527850736,140
1,22,2,1,2.87944294816663,4.646729278880503,-4.990874210633333,9.856093231364111,140
2,23,2,1,3.528770160018466,2.745898687206433,-0.0388953707666668,5.552277323530213,140
1,24,2,1,4.380956261006426,3.9955022204319466,-5.6145857926166665,7.055885296823967,140
1,25,2,1,3.239617399450124,2.251154041024984,-5.624618082887499,8.629533870573109,140
1,26,2,1,5.916479045793084,3.908522103866072,-1.7025379105200005,4.880270114109497,140
2,27,2,1,4.73195158761143,2.80219704467031,0.5955241998249998,3.3271536325697846,140
1,28,2,1,2.616627529846332,3.4266088011048463,-4.807072666826088,8.458894498979914,140
2,29,2,1,3.732555772644234,2.986682467196671,0.5652027859749996,5.014099904882029,140
1,3,2,1,3.4398915322373225,4.449418808354109,-6.309369315814286,8.517407288928775,140
1,30,2,1,3.972452792985653,2.857646947748025,-4.065106219017647,7.443505057211335,140
1,31,2,1,4.086144888929502,7.09866992868909,-6.641673261423078,7.9032908832157425,140
1,32,2,1,5.400469152787005,4.950638006000371,-4.301123056541177,6.383731903929564,140
2,33,2,1,3.714745373309429,2.492931681661924,0.3446461108624998,5.112474747710532,140
1,34,2,1,4.020237616356105,6.46581707718715,-11.355152888316669,10.46068814596408,140
1,35,2,1,5.1192949134423165,3.354702902236487,-2.8785001725631583,4.944451892907877,140
2,36,2,1,4.9513147754463365,2.879101439724953,1.3147764954541663,2.5401658703653247,140
1,37,2,1,4.868975190048471,3.318748526788178,-3.2061947558200004,6.997114086507631,140
1,38,2,1,3.636901546252066,3.07795095388731,-4.543299616438095,7.369582241356206,140
1,39,2,1,4.255230537364104,3.4762051930238904,-4.774253544492857,6.811900829005852,140
1,4,2,1,5.935647154277814,3.872330854953526,-2.190172611436842,4.135050794186572,140
1,40,2,1,4.404923818827715,4.738325459016061,-4.565891465484615,7.617335062062403,140
2,41,2,1,3.708796582403548,3.404982329463095,0.5531268194874998,4.537531684066713,140
1,42,2,1,3.5719225430208006,1.4785533905932735,-7.913302849287501,9.10928860674182,140
1,43,2,1,4.255930357094924,3.8809720638339655,-4.552419243490909,6.189421625893579,140
1,44,2,1,4.083771821883108,6.158362094221108,-6.646259412053847,7.858817123061196,140
2,45,2,1,5.46928394488589,3.607725830372283,1.161665353020833,2.9705176241076354,140
1,46,2,1,4.456934797858782,3.5759245497450243,-5.4640242535875005,7.61069973394372,140
2,47,2,1,4.253600582001165,3.179785610242234,1.0454107637916668,4.808983081276664,140
1,48,2,1,4.698361768272651,3.510372457840381,-3.3432673094722225,6.656995943725867,140
1,49,2,1,3.849338585171085,1.7570236231737304,-3.673331803457143,8.508283229548177,140
2,5,2,1,4.082863931151233,2.744696427792109,0.8566189198666664,5.267903944517407,140
1,50,2,1,5.474356359775802,3.912846515191815,-3.6612026396866666,5.178892103799575,140
2,6,2,1,4.211818021538797,3.630682132571843,0.6376648167208332,4.913135860474539,140
1,7,2,1,4.390945326779864,3.274873117310588,-4.567200568852175,6.089708825380447,140
1,8,2,1,4.6397688278091165,10.332363299000844,-54.6484601976,41.60961810466761,140
2,9,2,1,3.6222347552104073,2.909176123171825,0.6674914301708332,5.343083415989767,140
