game_result,game_id,mr_x_algo,cop_algo,mr_x_avg_distance_to_cop,avg_distance_between_cops,mr_x_avg_reward,cops_avg_reward,train_iteration
2,1,1,3,9.861257408624857,6.410174237649524,6.743158965154167,-2.0504557152316063,0
2,10,1,3,10.9390455400701,4.116670879495867,8.335835662720832,-2.799648985311548,0
2,11,1,3,8.726194935036283,10.69513007052277,1.9340708911708333,-0.6917475587987698,0
2,12,1,3,6.047565881353958,9.3117863835282,0.4934870438333332,1.6414060854809132,0
2,13,1,3,9.868733726631964,7.392462984365568,7.364163970587501,-2.501322090791476,0
2,14,1,3,11.648136575495291,4.387766273332886,8.848181440395834,-2.9967474161553693,0
1,15,1,3,4.35956239073817,7.139771361960757,-13.33520475542,10.59233247242387,0
2,16,1,3,5.4394987859711,7.604969653874552,1.0477328643208332,1.213648725732588,0
2,17,1,3,10.882449423131604,8.637210960850162,8.398335098420835,-2.829277474159109,0
2,18,1,3,6.476569336356718,8.096600921905512,0.419816151745833,1.4396604534310964,0
2,19,1,3,7.755453135662982,5.926566551158764,2.1385944876416665,-0.3001352188673779,0
2,2,1,3,6.309913743652797,5.340599401725352,2.9461921461500005,0.7980297888615624,0
2,20,1,3,4.167673571916725,2.707856292470336,0.3766850583249998,2.2194541111194,0
2,21,1,3,5.842603975765521,6.672198167056945,1.5714238447125002,0.3342920217188713,0
2,22,1,3,6.6968984090488455,9.057292983607596,0.7413844702916667,0.614861632098722,0
2,23,1,3,10.608134463512451,9.216974311509114,6.091055813608333,-2.251799677299222,0
1,24,1,3,5.0094259912212005,6.881174436006686,-14.868334700025,10.033259551565402,0
2,25,1,3,7.477702641977438,9.978380405100822,0.0704884607708331,1.0937633521871326,0
2,26,1,3,6.860614114081706,10.048584647568772,0.6210734921458335,1.1394241391015771,0
2,27,1,3,8.234823901443376,6.692996482778963,4.304538419970833,-1.520925766569383,0
2,28,1,3,9.545140259482244,7.521083160031608,6.1028471745875,-2.0409041671864165,0
2,29,1,3,5.739637685295485,4.416888145986183,1.2982351920333337,1.980546268889024,0
2,3,1,3,7.14542722650931,6.390673109701335,3.107200060591667,0.9127804538673931,0
1,30,1,3,4.484460846460961,7.899341092250978,-8.19786544551111,6.916508838558236,0
1,31,1,3,5.984210705890201,7.07940096806903,-5.605731812785714,4.793583335825296,0
2,32,1,3,6.530350117412627,9.589319777834447,1.8001809684541663,0.3279427367204838,0
2,33,1,3,8.083678574409966,5.438363608621181,4.397706572483334,-0.4711569718828299,0
2,34,1,3,8.728861530723693,9.043414736819772,3.1012980676375004,-0.6215919124585289,0
2,35,1,3,9.196817957041928,8.35761372493723,1.3588116638250003,-0.8090106879282111,0
2,36,1,3,7.694808725938635,4.189968040550008,4.257924030470833,-0.4003884170138108,0
2,37,1,3,7.739768173554133,11.464257876521808,3.687193847245833,-0.8512848030433692,0
2,38,1,3,4.351697605358928,6.132734909046252,0.3969877590999996,3.4512210566258084,0
2,39,1,3,9.181141525291734,9.553549128802784,2.9947177747375004,-0.7207749575789815,0
2,4,1,3,6.195833411516007,9.283598271725516,2.002039819454166,1.2660081423563485,0
2,40,1,3,7.75620889413251,5.776466629039056,4.763453798579167,-0.0967046065062908,0
2,41,1,3,7.596551686114783,6.669959917763709,1.6508814506749996,-0.3085083252998613,0
2,42,1,3,10.60133695655034,7.731552404151479,4.9580126910375,-2.1727727807788035,0
2,43,1,3,6.3982441835615935,8.150357988090585,2.2350055259125,0.4024932011698578,0
1,44,1,3,6.077866259405004,7.45931543238432,-3.46701058784,3.5938564746121195,0
2,45,1,3,7.547186336141057,10.287523027963982,2.891710753816666,-0.7645213020782563,0
2,46,1,3,5.359330807080337,4.527489394817676,1.8669325166583333,2.3153471998209816,0
2,47,1,3,8.418569225188422,6.960281488072944,1.24789964745,0.3095254826476404,0
2,48,1,3,7.82782601924433,6.349206590313302,4.361446144354167,-0.4710131795568739,0
2,49,1,3,8.846584756595284,13.75401226265173,2.989375164991667,-0.9110372462356764,0
2,5,1,3,9.12224520517285,6.622303166251103,4.687617047820834,-1.487007973149453,0
2,50,1,3,9.493872794457154,12.036469659322032,0.4001193970958332,-0.1907679807048857,0
2,6,1,3,6.4757424297625725,6.049543958332414,3.2142699338041667,0.4513673454889731,0
1,7,1,3,7.034699465513825,8.029853579597656,-2.0251028903217394,2.6559473521702337,0
2,8,1,3,4.627325301466732,5.734788507288639,0.5856109926624997,2.832546528177732,0
2,9,1,3,5.594031612568144,8.794111676322649,0.1032773535666667,2.090826388292902,0
