game_result,game_id,mr_x_algo,cop_algo,mr_x_avg_distance_to_cop,avg_distance_between_cops,mr_x_avg_reward,cops_avg_reward,train_iteration
1,1,2,3,5.191482578445589,5.153140517143398,-5.08528602655,4.907016082257519,0
1,10,2,3,5.05324521183045,5.760260041578955,-4.24421597975,5.195324249322878,0
2,11,2,3,8.949267847880078,9.349313252101709,2.403451950345833,-1.2490188771711812,0
2,12,2,3,6.809011186951634,9.397115515423527,2.640915009554167,1.0707005725762453,0
2,13,2,3,7.938927595453205,9.171692189548471,2.1175704969541664,-1.2284532833417443,0
2,14,2,3,6.818854463769348,5.101903008666255,3.477092225616667,-0.8066783371012637,0
2,15,2,3,9.779343602108955,7.300104628139256,6.862267714029166,-2.294617489206124,0
2,16,2,3,8.225346791892356,4.960475178013544,2.662899268033333,-0.6151275701017234,0
1,17,2,3,6.221073818187705,9.908149199265775,-4.819404097942857,3.9571585549185246,0
2,18,2,3,11.777635083395037,6.135066629915023,7.7955807156625,-2.811380959132196,0
2,19,2,3,8.64457476908556,5.852418648237509,4.83001889225,-1.652348157146382,0
2,2,2,3,5.771631875561688,9.530315584370738,2.0422274551833333,0.1071503472544421,0
2,20,2,3,10.92170912365338,6.385810167132242,4.711067701066667,-2.540455382166765,0
2,21,2,3,7.060317783197391,7.002348335205802,1.6379000948666669,1.0326859411640987,0
1,22,2,3,8.284388297903266,8.352768913926623,-2.9821079775,3.7949150973804953,0
2,23,2,3,5.8265253578827325,9.375769008439752,1.2694771027958334,1.601927393520252,0
2,24,2,3,5.68000197929717,8.577664504378044,0.6938846696666671,1.8647011939699116,0
2,25,2,3,6.30235615321966,6.495495097149195,1.1374630344583332,1.0779274380010064,0
1,26,2,3,5.323763086484041,6.434327455488098,-15.067612533375002,11.139678964448272,0
2,27,2,3,11.6475094118835,7.7675569340412,8.813662926070833,-3.210600927844899,0
2,28,2,3,8.768942594802398,4.484017176192651,5.481949355695833,-1.8336761852840808,0
2,29,2,3,8.901345585044565,7.357879239388585,4.9585142795125,-1.557852332494021,0
1,3,2,3,8.754684947471672,9.115577720408105,-19.674194081933333,12.40913052638192,0
1,30,2,3,10.52032126940865,10.750491353685437,-6.488624439491666,4.119108097511729,0
2,31,2,3,6.258135021292996,7.112569306478441,0.5970182015541666,1.603056572184867,0
2,32,2,3,11.933147365165746,9.246040874507091,7.377807684145833,-2.858642413144351,0
2,33,2,3,9.770329572248748,10.026602340728251,4.026795087679166,-1.3179683727227085,0
1,34,2,3,6.619596769113579,6.056438621189064,-4.06206259682353,3.389278936639237,0
2,35,2,3,7.952578873230958,8.252476664151631,3.4291950139791667,0.0518864753606274,0
1,36,2,3,3.5810374867738197,5.400964112000603,-5.939923827257142,6.801302892675976,0
2,37,2,3,10.877406388143813,3.552601232034841,8.4154250735125,-2.772051083678448,0
2,38,2,3,10.090906815705708,7.325844945756402,1.9482676287291667,-1.3038190206364997,0
1,39,2,3,7.270851323197937,4.939534126409253,-1.7125738221538465,3.8082986279504905,0
2,4,2,3,8.64939453014992,11.41190265697726,3.947368441983333,-1.103600197227976,0
2,40,2,3,6.136549193104078,7.6127287860833475,0.930712579495833,0.9130008002794648,0
2,41,2,3,5.28867288723799,5.71105138516747,1.557776492633333,2.663692886826666,0
2,42,2,3,10.998705377269877,6.34525896871087,6.784043989666666,-2.2327003452763927,0
2,43,2,3,6.12798644817489,6.459740650589133,1.7030066467375002,0.7771843309483017,0
2,44,2,3,7.342811912071593,5.622341328763807,3.4471182290083333,-0.1316892029758958,0
2,45,2,3,8.538742233786367,9.85092478337611,2.9902859716875003,-0.8452776926918059,0
2,46,2,3,7.808555793880049,4.744656964415146,2.4542071352791663,-0.1905898681497625,0
2,47,2,3,9.522198387687936,5.949570551331864,5.527794318991667,-1.7236502521803547,0
2,48,2,3,7.25938095950017,7.082385315164779,3.1028950175,0.1687619022644798,0
2,49,2,3,8.739721145184758,6.585991900408202,3.834943939254167,-1.1701327378897937,0
1,5,2,3,6.093618810256744,6.178552623754913,-20.379928893166667,17.312574581207947,0
2,50,2,3,6.535098041679508,9.308649533788246,2.8721358194375006,0.3875127257886774,0
1,6,2,3,4.59829505765244,3.4202918347756426,-7.278191161188889,8.271911668142089,0
1,7,2,3,3.081680063488866,4.622520095233299,-54.6484601976,41.2953009586673,0
1,8,2,3,7.075309026141053,7.112030486134879,-2.472583794426316,1.6809991811611702,0
2,9,2,3,6.57803844613435,9.084076622943678,3.556007610195833,0.0149310798560798,0
